iata,airport_name,lat,long,currency_code,to_euro
MOO,Moomba,-28.1,140.2,AUD,0.7253
ONS,Onslow ,-21.666999999999998,115.116,AUD,0.7253
TDR,Theodore,-24.986736999999998,150.09311200000002,AUD,0.7253
CCL,Chinchilla,-26.769444,150.616667,AUD,0.7253
JHQ,Shute Harbour,-20.278299,148.757004,AUD,0.7253
SHT,Shepparton,-36.428902,145.39300500000002,AUD,0.7253
TEM,Temora,-34.4248,147.5104,AUD,0.7253
GAH,Gayndah,-25.61528,151.62083,AUD,0.7253
WIO,Wilcannia,-31.51749992,143.3789978,AUD,0.7253
BEO,Belmont Airport,-33.066666999999995,151.648333,AUD,0.7253
BMP,Brampton Island,-20.804444399999998,149.27944440000002,AUD,0.7253
BQB,Brusselton,-33.687222,115.400278,AUD,0.7253
IVR,Inverell,-29.888333000000003,151.14416699999998,AUD,0.7253
GLI,Glen Innes,-29.675,151.69,AUD,0.7253
KFE,Dave Forest Airport,-22.291945000000002,119.437225,AUD,0.7253
SLJ,Solomon Airport,-22.255,117.85,AUD,0.7253
COJ,Coonabarabran,-31.337221000000003,149.27194,AUD,0.7253
BSJ,Bairnsdale Airport,-37.8875,147.567778,AUD,0.7253
PXH,Prominent Hill,-29.716666999999998,135.52166699999998,AUD,0.7253
GRZ,Graz,46.991067,15.439627999999999,EUR,1.0
INN,Innsbruck,47.260219,11.343964,EUR,1.0
LNZ,Linz,48.233219,14.187510999999999,EUR,1.0
SZG,Salzburg,47.793304,13.004333,EUR,1.0
VIE,Schwechat,48.110278,16.569722,EUR,1.0
HOJ,Hohenems,47.385,9.7,EUR,1.0
KLU,Woerthersee International Airport,46.642514,14.337739000000001,EUR,1.0
ZSB,Hauptbahnhof,47.813056,13.046667,EUR,1.0
XWW,Westbahnhoff,48.196667,16.337778,EUR,1.0
GYD,Heydar Aliyev,40.4675,50.046667,AZN,0.905
BAK,Heydar Aliyev,40.4675,50.046667,AZN,0.905
NAJ,Nakhchivan Airport,39.1888,45.4584,AZN,0.905
KVD,Ganja Airport,40.7377,46.3176,AZN,0.905
LLK,Lankaran International Airport,38.746389,48.817778000000004,AZN,0.905
GBB,Qabala Airport,40.826667,47.7125,AZN,0.905
ZTU,Zaqatala International Airport,41.562222,46.667221999999995,AZN,0.905
ASD,Fresh Creek,24.698283,-77.795611,BSD,0.958
MHH,Marsh Harbour,26.511406,-77.083472,BSD,0.958
SAQ,San Andros,25.053814000000003,-78.048997,BSD,0.958
AXP,Spring Point,22.441828,-73.97085799999999,BSD,0.958
TCB,Treasure Cay,26.745335999999998,-77.391269,BSD,0.958
CCZ,Chub Cay,25.417108,-77.88085,BSD,0.958
BIM,South Bimini,25.699881,-79.264656,BSD,0.958
GGT,Exuma Intl,23.562631,-75.87795799999999,BSD,0.958
ELH,North Eleuthera,25.474860999999997,-76.683489,BSD,0.958
GHB,Governors Harbour,25.284706,-76.331011,BSD,0.958
RSD,Rock Sound,24.8917,-76.177739,BSD,0.958
FPO,Grand Bahama Intl,26.558685999999998,-78.695553,BSD,0.958
IGA,Matthew Town,20.975,-73.666862,BSD,0.958
LGI,Deadmans Cay,23.179014000000002,-75.093597,BSD,0.958
SML,Stella Maris,23.581444,-75.270475,BSD,0.958
MYG,Mayaguana,22.379528,-73.0135,BSD,0.958
NAS,Lynden Pindling Intl,25.038957999999997,-77.46623100000001,BSD,0.958
ZSA,San Salvador,24.063275,-74.523967,BSD,0.958
NSB,Bimini North Seaplane Base,25.767,-79.25,BSD,0.958
PID,Nassau Paradise Island Airport,25.083000000000002,-77.3,BSD,0.958
CRI,Colonel Hill Airport,22.745561,-74.182353,BSD,0.958
CAT,New Bight Airport,24.315292000000003,-75.452331,BSD,0.958
ATC,Arthurs Town Airport,24.629417,-75.673775,BSD,0.958
COX,Congo Town Airport,24.158932999999998,-77.58975799999999,BSD,0.958
WZY,Paradise Island Seaplane Base,25.0872,-77.3239,BSD,0.958
BAH,Bahrain Intl,26.270834000000004,50.63361,BHD,2.5409
CXB,Coxs Bazar,21.452194,91.963889,BDT,0.01241
CGP,Shah Amanat Intl,22.249610999999998,91.813286,BDT,0.01241
IRD,Ishurdi,24.1525,89.049446,BDT,0.01241
JSR,Jessore,23.1838,89.160833,BDT,0.01241
RJH,Shah Mokhdum,24.437219,88.616511,BDT,0.01241
